url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://arabic.cnn.com/middle-east/article/2026/08/14/revolutionary-guard-trump-strait-of-hormuz-is-closed-iran,https://arabic.cnn.com/amphtml/middle-east/article/2026/08/14/revolutionary-guard-trump-strait-of-hormuz-is-closed-iran,الحرس الثوري يرد على ترامب : مضيق هرمز مغلق,20260814T061500Z,,arabic.cnn.com,Arabic,United States
https://www.vetogate.com/5714724,,إيران تحتجز ناقلة نفط إماراتية في مضيق هرمز,20260817T190000Z,,vetogate.com,Arabic,Egypt
https://www.vetogate.com/5713522,,طهران : أمريكا تكبدت خسائر استراتيجية ولا يمكن السيطرة على مضيق هرمز عن طريق التغريدات,20260816T061500Z,,vetogate.com,Arabic,Egypt
https://www.aksalser.com/news/2026/08/16/%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D8%A7%D9%84%D8%A7%D9%87%D8%AA%D9%85%D8%A7%D9%85-%D8%A8%D8%B3%D9%84%D8%A7%D9%85%D8%AA%D9%87-%D8%A8%D8%AF%D9%84%D8%A7/,,إيران : على ترامب الاهتمام بسلامته بدلا من التهديدات بشأن هرمز – عكس السير,20260816T094500Z,https://www.aksalser.com/news/wp-content/uploads/2026/08/1-40.webp,aksalser.com,Arabic,Syria
https://www.shorouknews.com/news/view.aspx?cdate=16082026&id=c4403f44-d724-4a3d-b876-f5bde9dcc626,,قائد الجيش الإيراني يتحدى واشنطن : مضيق هرمز لن يعود كما كان وسنحميه مهما كانت الكلفة,20260816T153000Z,https://www.shorouknews.com/uploadedimages/Other/original/47856976087-098-789-89.JPG,shorouknews.com,Arabic,Egypt
https://www.shorouknews.com/news/view.aspx?cdate=14082026&id=17d073fe-2bb4-40df-8838-e0f605a0e2bf,,ترامب : سأعلن مضيق هرمز أرضا أمريكية بعد هزيمة إيران بالكامل,20260814T210000Z,https://www.shorouknews.com/uploadedimages/Other/original/1200x675_cmsv2_28e1fc43-166d-550c-b8d0-e1b558d5c334-8234268.jpg,shorouknews.com,Arabic,Egypt
https://www.kompas.com/global/read/2026/08/15/090100970/gertak-balik-trump-iran-buka-suara-soal-masa-depan-selat-hormuz,,"Gertak Balik Trump , Iran Buka Suara Soal Masa Depan Selat Hormuz",20260815T023000Z,"https://asset.kompas.com/crops/y0n8Gt7oES7Ini4p5r9XlqQltxI=/300x0:2000x1133/1200x675/filters:watermark(data/photo/2026/01/30/697c81ac46b81.png,0,-0,1)/data/photo/2026/05/04/69f87fcd256c8.jpg",kompas.com,Indonesian,Indonesia
https://www.jawapos.com/internasional/2608160144/iran-minta-as-akui-kekalahan-selat-hormuz-tetap-dikuasai-tehran,https://www.jawapos.com/amp/internasional/2608160144/iran-minta-as-akui-kekalahan-selat-hormuz-tetap-dikuasai-tehran,"Iran Minta AS Akui Kekalahan , Selat Hormuz Tetap Dikuasai Tehran",20260816T064500Z,https://cdn-assets.jawapos.com/images/1/2026/08/01/ilustrasi-kapal-tanker-di-perairan-selat-hormuz-ap-photokamran-jebreili-R8kU5.webp,jawapos.com,Indonesian,Indonesia
https://www.shorouknews.com/news/view.aspx?cdate=16082026&id=f5a04e96-a02c-40cf-be1d-9d46434594ad,,إيران : على ترامب الاهتمام بسلامته بدلا من التهديدات بشأن هرمز,20260816T071500Z,https://www.shorouknews.com/uploadedimages/Other/original/646313132222222222222222222222222222.JPG,shorouknews.com,Arabic,Egypt
https://alfajertv.com/news/worldnews/738920.html,,إيران لأمريكا : تقبلوا الحقيقة واعترفوا بخسائركم .. ومضيق هرمز سيبقى إيرانيًا – تلفزيون الفجر,20260816T103000Z,https://alfajertv.com/wp-content/uploads/2026/08/iiiiir-1774399438.webp,alfajertv.com,Arabic,Israel
